file,jd,date,year,phase,epoch,instrument,exptime,continuum_color,vmag_nearest,vmag_dt_days,Hbeta_peak,Hbeta_ew,HeI_NaD_peak,HeI_NaD_ew,Halpha_peak,Halpha_ew
000-BBW-825_CDZ_2459435.46289352.FITS,2459435.46289352,2021-08-08,2021.6026380644385,0.8493452663298786,15.849345266329879,LISA,8371,1.9489429630614872,9.909,-0.06656251987442374,0.76532434604944,-3.256039820253874,1.3273999596062842,-0.2659072640139663,3.227920272956132,29.32952548109118
000-BBW-825_CDZ_2459439.44650463.FITS,2459439.44650463,2021-08-12,2021.6135520674798,0.8668515818317406,15.86685158183174,LISA,1205,1.6766761026956023,10.026,-0.05307863000780344,0.7419764142333669,-3.529524822900356,1.337753973927166,0.5491798676647777,3.1392490000547175,30.533605863092973
000-BBW-825_CDZ_2459443.47417824.FITS,2459443.47417824,2021-08-16,2021.6245867896992,0.8845515337111305,15.88455153371113,LISA,1203,1.6622636938271393,9.982,-0.08585624024271965,0.7888582765285804,-3.0630581034775504,1.3477919748901717,-0.2750633582237188,3.016556322988023,27.374824378365478
000-BBW-825_CDZ_2459706.48884259.FITS,2459706.48884259,2022-05-06,2022.3451749112048,0.040391691905675486,17.040391691905675,LISA,156,1.157821884638622,9.813,-0.051330589689314365,0.9489248748663156,-1.7103624402494992,1.34985821173474,1.606847268797765,3.988607624239115,36.47475855700693
000-BBW-825_CDZ_2459800.42915509.FITS,2459800.42915509,2022-08-08,2022.6025456303832,0.4532203299189703,17.45322032991897,LISA,1212,1.4119133817307834,9.849,-0.02323509007692337,0.9596519142915443,-1.3996805445909484,1.4175974810699834,1.5435572770157726,5.071506183471156,46.03192611480929
000-BBW-825_CDZ_2459806.41451389.FITS,2459806.41451389,2022-08-14,2022.6189438736717,0.47952349472412337,17.479523494724123,LISA,1214,1.4082785562688191,10.031,0.03024310991168022,0.9650612201769686,-1.6786903725672002,1.5345915987234133,3.135425625334931,5.229503237033999,51.16362159866436
000-BBW-825_CDZ_2459808.4759375.FITS,2459808.4759375,2022-08-16,2022.6245916095893,0.48858259489763967,17.48858259489764,LISA,1213,1.4323280961597407,10.079,0.09684249991551042,1.0731735721614772,-1.2911606177707964,1.555095742197586,2.7625857667457687,5.827520657055411,52.04727786239514
000-BBW-825_CDZ_2459817.37322917.FITS,2459817.37322917,2022-08-25,2022.6489677511513,0.5276824946575545,17.527682494657554,LISA,456,1.47904578726055,10.095,-0.008935170248150826,0.9654132118996762,-1.830700548540989,1.4678126240491334,2.307863863581751,4.782321176167864,45.576853912871435
000-BBW-825_CDZ_2459819.37434028.FITS,2459819.37434028,2022-08-27,2022.6544502473423,0.5364765464545052,17.536476546454505,LISA,456,1.4690651295198085,10.018,0.02442171983420849,0.9234984774114435,-1.9367818029688026,1.4091551111643115,1.0794759183607603,4.580862526169059,40.646196262225224
000-BBW-825_CDZ_2460773.56905093.FITS,2460773.56905093,2025-04-08,2025.2659426052876,0.7297657991027506,21.72976579910275,UVEX,6000,1.7029037312872128,9.879,0.0002690698020160198,1.006556883850439,-1.5537539787280803,1.1619673623864717,-1.9963622018104834,2.567881361348673,20.000951764932648
000-BBW-825_CDZ_2460775.5315.FITS,2460775.5315,2025-04-10,2025.2713191780824,0.7383899473007318,21.738389947300732,UVEX,9016,1.6466118427866117,9.754,-0.00011999998241662979,0.9719343337442539,-1.9864729276959068,1.3588100586542382,-1.417993734579093,3.771093242289989,27.79453103910187
000-BBW-825_CDZ_2460792.5839.FITS,2460792.5839,2025-04-27,2025.3180380821916,0.813328159442829,21.81332815944283,UVEX,6017,1.564812426833414,9.996,-5.9999991208314896e-05,0.8163253343380171,-2.6656149458071514,1.3121812151805694,-1.744166171904069,2.956070928481165,17.949161975946634
